"source","date","assertionType","evidenceType","prefix","exactText","suffix","modality","statementType","comment","drug1Lab","drug1Type","drug1Role","dose1","drug2Lab","drug2Type","drug2Role","dose2","objectRegimens","objectFormulation","objectDuration","preciptRegimens","preciptFormulation","preciptDuration","numOfParticipants","auc","aucType","aucDirection","clearance","clearanceType","clearanceDirection","cmax","cmaxType","cmaxDirection","halflife","halflifeType","halflifeDirection"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4650d12c-b9c8-4525-b07f-a2d773eca155.html","2015-08-20 11:48:50 -0400","drug-drug-interaction","evidence-supports","nsporter 3 (OAT3) substrates   ","Teriflunomide inhibits the activity of OAT3 in vivo. In patients taking AUBAGIO, exposure of drugs which are OAT3 substrates (e.g., cefaclor, cimetidine, ciprofloxacin, penicillin G, ketoprofen, furosemide, methotrexate, zidovudine) may be increased. Monitor these patients and adjust the dose of the concomitant drug(s) which are OAT3 substrates as required [see Clinical Pharmacology (12.3)].","","ncit:positive","ncit:Qualitative",,"furosemide","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","Teriflunomide","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/ea35caf8-c8c8-481a-97a2-25f68cbc240b.html","2015-10-29 11:09:04 -0400","drug-drug-interaction","evidence-supports","e in plasma AUC of the TCA ).  ","In addition, certain drugs inhibit the activity of this isozyme and make normal metabolizers resemble poor metabolizers. An individual who is stable on a given dose of TCA may become abruptly toxic when given one of these inhibiting drugs as concomitant therapy. The drugs that inhibit cytochrome P450 2D6 include some that are not metabolized by the enzyme (quinidine; cimetidine) and many that are substrates for P450 2D6 (many other antidepressants, phenothiazines, and the Type 1C antiarrhythmics propafenone and flecainide). While all the selective serotonin reuptake inhibitors (SSRIs), e.g., fluoxetine, sertraline, and paroxetine, inhibit P450 2D6, they may vary in the extent of inhibition. The extent to which SSRI-TCA interactions may pose clinical problems will depend on the degree of inhibition and the pharmacokinetics of the SSRI involved. Nevertheless, caution is indicated in the coadministration of TCAs with any of the SSRIs and also in switching from one class to the other. Of particular importance, sufficient time must elapse before initiating TCA treatment in a patient being withdrawn from fluoxetine, given the long half-life of the parent and active metabolite (at least 5 weeks may be necessary).","","ncit:positive","ncit:Qualitative",,"TCA","dikbD2R:drug-group","dikbD2R:object-drug-of-interaction",,"quinidine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","",,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/75bf3473-2d70-4d41-93cd-afa1015e45bb.html","2015-10-01 10:49:57 -0400","drug-drug-interaction","evidence-supports","se in plasma AUC of the TCA).  ","In addition, certain drugs inhibit the activity of this isozyme and make normal metabolizers resemble poor metabolizers. An individual who is stable on a given dose of TCA may become abruptly toxic when given one of these inhibiting drugs as concomitant therapy. The drugs that inhibit cytochrome P450 2D6 include some that are not metabolized by the enzyme (quinidine; cimetidine) and many that are substrates for P450 2D6 (many other antidepressants, phenothiazines, and the Type 1C antiarrhythmics propafenone and flecainide). While all the selective serotonin reuptake inhibitors (SSRIs), e.g., fluoxetine, sertraline, and paroxetine, inhibit P450 2D6, they may vary in the extent of inhibition. The extent to which SSRI-TCA interactions may pose clinical problems will depend on the degree of inhibition and the pharmacokinetics of the SSRI involved. Nevertheless, caution is indicated in the co-administration of TCAs with any of the SSRIs and also in switching from one class to the other. Of particular importance, sufficient time must elapse before initiating TCA treatment in a patient being withdrawn from fluoxetine, given the long half-life of the parent and active metabolite (at least 5 weeks may be necessary).","","ncit:positive","ncit:Qualitative",,"TCA","dikbD2R:drug-group","dikbD2R:object-drug-of-interaction","","fluoxetine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/b891bd9f-fdb8-4862-89c5-ecdd700398a3.html","2015-09-03 15:42:22 -0400","drug-drug-interaction","evidence-supports","nical Pharmacology (12.3) ] .  ","No dose adjustment of alprazolam, ibuprofen, levothyroxine, olanzapine, risperdione, warfarin, or strong CYP3A4 inhibitors (e.g., ketoconazole) is necessary when these drugs are used in combination with EMSAM. EMSAM had no clinically relevant effect on pharmacokinetics of these drugs.","","ncit:negative","ncit:Qualitative",,"olanzapine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","EMSAM","dikbD2R:drug-product","dikbD2R:precipitant-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/b891bd9f-fdb8-4862-89c5-ecdd700398a3.html","2015-10-27 14:17:34 -0400","DDI-clinical-trial","evidence-supports","","Risperidone    In subjects who had received EMSAM 6 mg per 24 hours for 10 days, co-administration with risperidone (2 mg per day for 7 days), a substrate for CYP2D6, did not affect the pharmacokinetics of selegiline or risperidone [see Drug Interactions (7.4) and (7.5)].    Warfarin","","ncit:negative","ncit:quantitative",,"EMSAM","dikbD2R:drug-product","dikbD2R:precipitant-drug-of-interaction","6","risperidone","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","2","Daily","Oral","7","Daily","transdermal","10","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4e338e89-3cf2-48eb-b6e2-a06c608c6513.html","2015-08-20 11:17:13 -0400","DDI-clinical-trial","evidence-supports","CYP2C9, CYP2C19 and CYP3A4/5.  ","In an in vivo drug-drug interaction trial, the Cmax and AUC of dextromethorphan (CYP2D6 substrate) were increased 2.8- and 2.9-fold, respectively when dextromethorphan 30 mg was given with abiraterone acetate 1,000 mg daily (plus prednisone 5 mg twice daily). The AUC for dextrorphan, the active metabolite of dextromethorphan, increased approximately 1.3 fold [see Drug Interactions (7.2)].","","ncit:positive","ncit:quantitative",,"dextromethorphan","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","1000","abiraterone acetate","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","30","UNK","UNK","Unk","Daily","UNK","Unk","Unk","2.9","Fold","Increase","Unk","UNK","UNK","2.8","Fold","Increase","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/5f356c1b-96bd-4ef1-960c-91cf4905e6b1.html","2015-11-02 16:13:06 -0500","DDI-clinical-trial","evidence-supports","","Olanzapine — Fluoxetine (60 mg single dose or 60 mg daily dose for 8 days) causes a small (mean 16%) increase in the maximum concentration of olanzapine and a small (mean 16%) decrease in olanzapine clearance. The magnitude of the impact of this factor is small in comparison to the overall variability between individuals, and therefore dose modification is not routinely recommended. ","","ncit:positive","ncit:quantitative",,"olanzapine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","Unk","Fluoxetine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","60","UNK","UNK","Unk","Daily","Oral","8","Unk","Unk","UNK","UNK","16","Percent","Decrease","16","Percent","Increase","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html","2015-09-14 11:21:10 -0400","drug-drug-interaction","evidence-supports","","An in vivo interaction study involving the coadministration under steady-state conditions of paroxetine and terfenadine, a substrate for cytochrome CYP3A4, revealed no effect of paroxetine on terfenadine pharmacokinetics."," In addition,","ncit:negative","ncit:Qualitative",,"paroxetine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","","terfenadine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/cc9e1c8c-0e2b-44e2-878b-27057f786be9.html","2015-08-20 13:57:35 -0400","drug-drug-interaction","evidence-supports","beta blockers or diltiazem )   ","Experience with GILENYA in patients receiving concurrent therapy with drugs that slow the heart rate or atrioventricular conduction (e.g., beta blockers, digoxin, or heart rate-slowing calcium channel blockers such as diltiazem or verapamil) is limited. Because initiation of GILENYA treatment may result in an additional decrease in heart rate, concomitant use of these drugs during GILENYA initiation may be associated with severe bradycardia or heart block. Seek advice from the prescribing physician regarding the possibility to switch to drugs that do not slow the heart rate or atrioventricular conduction before initiating GILENYA. Patients who cannot switch, should have overnight continuous ECG monitoring after the first dose [see Dosage and Administration (2) and Warnings and Precautions (5.1)]","","ncit:positive","ncit:Qualitative",,"beta blockers","dikbD2R:drug-group","dikbD2R:object-drug-of-interaction","","GILENYA","dikbD2R:drug-product","dikbD2R:precipitant-drug-of-interaction","","","","","","","","","","","","","","","","","","","",""
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html","2015-10-28 16:46:43 -0400","DDI-clinical-trial","evidence-supports","ocking ability of atenolol .   ","Digoxin–In a placebo-controlled trial in normal volunteers, administration of sertraline for 17 days (including 200 mg/day for the last 10 days) did not change serum digoxin levels or digoxin renal clearance.","","ncit:negative","ncit:quantitative",,"digoxin","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","Unk","sertraline","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","200","UNK","UNK","Unk","Daily","Oral","17","10","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/4259d9b1-de34-43a4-85a8-41dd214e9177.html","2015-11-02 13:32:33 -0500","DDI-clinical-trial","evidence-supports","","Digoxin - In subjects who had received 21 days of 40 mg/day Celexa, combined administration of Celexa and digoxin (single dose of 1 mg) did not significantly affect the pharmacokinetics of either citalopram or digoxin.","","ncit:negative","ncit:quantitative",,"citalopram","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","40","digoxin","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","1","Daily","Oral","21","SD","Oral","1","Unk","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK","Unk","UNK","UNK"
