email,rawurl,annotationType,assertion_type,quote,Drug1,Type1,Role1,Drug2,Type2,Role2,Modality,Evidence_modality,Number_participants,FormulationP,FormulationO,DoseMG_precipitant,DoseMG_object,Duration_precipitant,Duration_object,RegimentsP,RegimentsO,Aucval,AucType,AucDirection,Clval,ClType,ClDirection,cmaxval,cmaxType,cmaxDirection,cminval,cminType,cminDirection,t12,t12Type,t12Direction,Comment
bas172@pitt.edu,http://130.49.206.139/DDI-labels/de965605-268a-4479-86f7-84de949cf36f.html,DDI,DDI clinical trial,"Co-administration of a single dose of zolpidem tartrate with 4 doses of ketoconazole, a potent CYP3A4 inhibitor increased Cmax of zolpidem (30%) and the total AUC of zolpidem (70%) compared to zolpidem alone and prolonged the elimination half-life (30%) along with an increase in the pharmacodynamic effects of zolpidem.",ketoconazole,active ingredient,Precipitant,zolpidem,active ingredient,Object,Positive,for,,UNK,UNK,4,1,,,UNK,UNK,70,Percent,Increase,,UNK,UNK,30,Percent,Increase,,UNK,UNK,30,Percent,Decrease,"is a 4:1 ratio for dosage, not in mg"
bas172@pitt.edu,http://130.49.206.139/DDI-labels/e19405d9-d9a1-4072-5b9e-40cd3ae4bf1f.html,DDI,DDI clinical trial,The results of one published study in HIV-infected men (n=6) indicated that coadministration of indinavir (800 mg every 8 hours chronically) with a single 25-mg dose of sildenafil resulted in an 11% increase in average AUC0-8hr of indinavir and a 48% increase in average indinavir peak concentration (Cmax) compared to 800 mg every 8 hours alone. Average sildenafil AUC was increased by 340% following coadministration of sildenafil and indinavir compared to historical data following administration of sildenafil alone,sildenafil,active ingredient,Object,indinavir,active ingredient,Precipitant,Positive,for,6,UNK,UNK,800,25,,,UNK,UNK,340,Percent,Increase,,UNK,UNK,,UNK,UNK,,UNK,UNK,,UNK,UNK,undefined
bas172@pitt.edu,http://130.49.206.139/DDI-labels/e19405d9-d9a1-4072-5b9e-40cd3ae4bf1f.html,DDI,DDI clinical trial,The results of one published study in HIV-infected men (n=6) indicated that coadministration of indinavir (800 mg every 8 hours chronically) with a single 25-mg dose of sildenafil resulted in an 11% increase in average AUC0-8hr of indinavir and a 48% increase in average indinavir peak concentration (Cmax) compared to 800 mg every 8 hours alone.,sildenafil,active ingredient,Precipitant,indinavir,active ingredient,Object,Positive,for,6,UNK,UNK,25,800,,,UNK,UNK,11,Percent,Increase,,UNK,UNK,48,Percent,Increase,,UNK,UNK,,UNK,UNK,undefined
bas172@pitt.edu,http://130.49.206.139/DDI-labels/de965605-268a-4479-86f7-84de949cf36f.html,DDI,DDI clinical trial,"A randomized, double-blind, crossover interaction study in ten healthy volunteers between itraconazole (200 mg once daily for 4 days) and a single dose of zolpidem tartrate (10 mg) given 5 hours after the last dose of itraconazole resulted in a 34% increase in AUC0-∞ of zolpidem tartrate.",itraconazole,active ingredient,Precipitant,zolpidem tartrate,active ingredient,Object,Positive,for,10,UNK,UNK,200,10,4,,UNK,UNK,34,Percent,Increase,,UNK,UNK,,UNK,UNK,,UNK,UNK,,UNK,UNK,undefined
bas172@pitt.edu,http://130.49.206.139/DDI-labels/d5051fbc-846b-4946-82df-341fb1216341.html,DDI,DDI clinical trial,Fluoxetine (60 mg single dose or 60 mg daily dose for 8 days) causes a small (mean 16%) increase in the maximum concentration of olanzapine and a small (mean 16%) decrease in olanzapine clearance.,Fluoxetine,active ingredient,Precipitant,olanzapine,active ingredient,Object,Positive,for,UNK,UNK,UNK,60,,8,,UNK,UNK,,UNK,UNK,16,Percent,Decrease,16,Percent,Increase,,UNK,UNK,,UNK,UNK,undefined
bas172@pitt.edu,http://130.49.206.139/DDI-labels/cf26b007-df4f-4936-b2d3-183969761f69.html,DDI,DDI clinical trial,"The effect of fluconazole on the pharmacokinetics and pharmacodynamics of midazolam was examined in a randomized, cross-over study in 12 volunteers. In the study, subjects ingested placebo or 400 mg fluconazole on Day 1 followed by 200 mg daily from Day 2 to Day 6. In addition, a 7.5 mg dose of midazolam was orally ingested on the first day, 0.05 mg/kg was administered intravenously on the fourth day, and 7.5 mg orally on the sixth day. Fluconazole reduced the clearance of IV midazolam by 51%. On the first day of dosing, fluconazole increased the midazolam AUC and Cmax by 259% and 150%, respectively. On the sixth day of dosing, fluconazole increased the midazolam AUC and Cmax by 259% and 74%, respectively.",fluconazole,active ingredient,Precipitant,midazolam,active ingredient,Object,Positive,for,12,UNK,UNK,200,7.5,,,UNK,UNK,259,Percent,Increase,,UNK,UNK,74,Percent,Increase,,UNK,UNK,,UNK,UNK,undefined
bas172@pitt.edu,http://130.49.206.139/DDI-labels/cf26b007-df4f-4936-b2d3-183969761f69.html,DDI,DDI clinical trial,"The effect of fluconazole on the pharmacokinetics and pharmacodynamics of midazolam was examined in a randomized, cross-over study in 12 volunteers. In the study, subjects ingested placebo or 400 mg fluconazole on Day 1 followed by 200 mg daily from Day 2 to Day 6. In addition, a 7.5 mg dose of midazolam was orally ingested on the first day, 0.05 mg/kg was administered intravenously on the fourth day, and 7.5 mg orally on the sixth day. Fluconazole reduced the clearance of IV midazolam by 51%. On the first day of dosing, fluconazole increased the midazolam AUC and Cmax by 259% and 150%, respectively. On the sixth day of dosing, fluconazole increased the midazolam AUC and Cmax by 259% and 74%, respectively.",fluconazole,active ingredient,Precipitant,midazolam,active ingredient,Object,Positive,for,12,UNK,UNK,400,7.5,,,UNK,UNK,259,Percent,Increase,,UNK,UNK,150,Percent,Increase,,UNK,UNK,,UNK,UNK,undefined
bas172@pitt.edu,http://130.49.206.139/DDI-labels/c2126e2d-3b46-40dd-8168-6d0368e5d233.html,DDI,DDI clinical trial,"In a study of 15 male subjects (aged 19 to 35 years) who were extensive metabolizers of the CYP2D6 isoenzyme, daily doses of bupropion given as 150 mg twice daily followed by a single dose of 50 mg desipramine increased the Cmax, AUC, and t1/2 of desipramine by an average of approximately 2-, 5- and 2-fold, respectively.",bupropion,active ingredient,Precipitant,desipramine,active ingredient,Object,Positive,for,15,UNK,UNK,300,50,,,UNK,UNK,5,Fold,Increase,,UNK,UNK,2,Fold,Increase,,UNK,UNK,2,Fold,Increase,undefined
bas172@pitt.edu,http://130.49.206.139/DDI-labels/b1d149db-ad43-4f3f-aef1-fb0395ba4191.html,DDI,Drug Drug Interaction,"When nefazodone (200 mg BID) was given to patients being treated with theophylline (600 to 1200 mg/day) for chronic obstructive pulmonary disease, there was no change in the steady-state pharmacokinetics of either nefazodone or theophylline.",theophylline,active ingredient,,nefazodone,active ingredient,,Positive,for,,,,,,,,,,,,,,,,,,,,,,,,,undefined
bas172@pitt.edu,http://130.49.206.139/DDI-labels/b1d149db-ad43-4f3f-aef1-fb0395ba4191.html,DDI,DDI clinical trial,"When a single oral 0.25 mg dose of triazolam was coadministered with nefazodone (200 mg BID) at steady state, triazolam half-life and AUC increased 4-fold and peak concentrations increased 1.7-fold.",triazolam,active ingredient,Object,nefazodone,active ingredient,Precipitant,Positive,for,UNK,UNK,UNK,200,0.25,,,UNK,UNK,4,Fold,Increase,,UNK,UNK,,UNK,UNK,,UNK,UNK,,UNK,UNK,undefined
