Drug,Carol's pick,drugs@FDA Label ,DailyMed Label,Dailymed setId,"Effective time, Version number",document URL,Katrina's comments,Amy's comments,John's comments,Yifan's comment
Isocarboxazid,Marplan 2012,,Marplan 2012  ,ac387aa0-3f04-4865-a913-db6ed6f4fdc5,"2012-03-08, version 2",http://localhost/DDI-labels/ac387aa0-3f04-4865-a913-db6ed6f4fdc5.html,No Pharmacokinetic interactions listed in either Clinical Pharmacology or Drug Interactions sections,I agree,,
Phenelzine,Nardil 2015,,Nardil 2014,513a41d0-37d4-4355-8a6d-a2c643bce6fa,"2015-02-02, version 8",http://localhost/DDI-labels/513a41d0-37d4-4355-8a6d-a2c643bce6fa.html,No Pharmacokinetic interactions listed in either Clinical Pharmacology or Drug Interactions sections,I agree,,
Tranylcypromine,Parnate 2013,,Parnate 2013,2e7350bd-ab32-4619-a3f9-12fdf56fc5e2,"2013-01-14, version 2",http://localhost/DDI-labels/2e7350bd-ab32-4619-a3f9-12fdf56fc5e2.html,No Pharmacokinetic interactions listed in either Clinical Pharmacology or Drug Interactions sections,I agree - there are no annotations at all - is that ok?,,
Selegiline (patch),EMSAM,EMSAM ,,b891bd9f-fdb8-4862-89c5-ecdd700398a3,"2014-09-12, version 9",http://localhost/DDI-labels/b891bd9f-fdb8-4862-89c5-ecdd700398a3.html,Complete - UPDATED 10/27/15,New comments to Katrina 11-7,,
SSRI,,,,,,,,,,
Citalopram,Celexa,Celexa,,4259d9b1-de34-43a4-85a8-41dd214e9177,"2014-07-14, version 18",http://localhost/DDI-labels/4259d9b1-de34-43a4-85a8-41dd214e9177.html,Complete - UPDATED 11/2/15,I agree,,Those highlighted label have technical difficulty to fix the bug
Escitalopram,Lexapro,Lexapro,,13bb8267-1cab-43e5-acae-55a4d957630a,"2014-10-31, version 18",http://localhost/DDI-labels/13bb8267-1cab-43e5-acae-55a4d957630a.html,Complete - UPDATED 11/2/15,New comments to Katrina 11-7,,Plan to serve those on a seperated account
Fluoxetine,Prozac NDA 018936,Prozac NDA 018936,,5f356c1b-96bd-4ef1-960c-91cf4905e6b1,"2015-02-04, version 37",http://localhost/DDI-labels/5f356c1b-96bd-4ef1-960c-91cf4905e6b1.html,Complete - UPDATED 11/3/15,New comments to Katrina 11-7,,
Fluvoxamine,Latest label NA,Latest label NA,Generic  Torrent Pharmaceutical,53664f8d-3a93-9f2b-daee-380707e4062c,"2014-12-08, version 7",http://localhost/DDI-labels/53664f8d-3a93-9f2b-daee-380707e4062c.html,Complete - UPDATED 10/27/2015,New comments to Katrina 11-7,,
Paroxetine,Latest July 2014,Latest July 2014,Generic Noven Therapeutics,326e8ab0-6886-4749-9544-885b37070051,"2015-03-12, version 14",http://localhost/DDI-labels/326e8ab0-6886-4749-9544-885b37070051.html,Complete - UPDATED 10/28/2015,New comments to Katrina 11-7,,
Sertraline,,Latest Sept 2014h,,c25f968b-7037-4f60-9a02-2189769b0cbf,"2015-02-04, version 5",http://localhost/DDI-labels/c25f968b-7037-4f60-9a02-2189769b0cbf.html,Complete - UPDATED 10/28/15,New comments to Katrina 11-7,,
Vilazodone (5HT1a receptor antagonist),,Latest July 2014,"Latest version available, No generics",,,,,,,
SNRI,,,,,,,,,,
Desvenlafaxine,Latest August 2014,Latest August 2014,,a9ff32c4-3bcf-4e51-ae8c-81ff0191ec35,"2014-10-29, version 9",http://localhost/DDI-labels/a9ff32c4-3bcf-4e51-ae8c-81ff0191ec35.html,Complete - UPDATED 10/28/15,New comments to Katrina 11-7,,
Duloxetine,Latest November 2014,Latest November 2014,,829a4f51-c882-4b64-81f3-abfb03a52ebe,"2015-02-01, version 11",http://localhost/DDI-labels/829a4f51-c882-4b64-81f3-abfb03a52ebe.html,Complete - UPDATED 10/28/15,New comments to Katrina 11-7,,
Levomilnacipran,Latest July 2014,Latest July 2014,No generics,f371258d-91b3-4b6a-ac99-434a1964c3af,"2014-07-21, version 5",http://localhost/DDI-labels/f371258d-91b3-4b6a-ac99-434a1964c3af.html,Complete - UPDATED 10/29/15,I agree,,
Minacipran,July 2014 Fetzima Forest,Latest October 2013,July 2014 Fetzima Forest,16a4a314-f97e-4e91-95e9-576a3773d284,"2015-01, version ",http://localhost/DDI-labels/16a4a314-f97e-4e91-95e9-576a3773d284.html,Complete - UPDATED 10/29/15,New comments to Katrina 11-7,,
Venlafaxine,Latest December 2014 - Effexor XR,Latest December 2014 - Effexor XR,,4c401522-0108-49cb-8a41-fb5ad4dd0fb1,"2015-03-04, version 26",http://localhost/DDI-labels/4c401522-0108-49cb-8a41-fb5ad4dd0fb1.html,Complete - no PK interactions,I agree,,
Tetracyclic,,,,,,,,,,
Maprotiline,Mylan December 2014,No,Mylan December 2014,c3ca69e6-1ea0-4c2c-abcb-7264b2e79a87,"2014-12, version",http://localhost/DDI-labels/c3ca69e6-1ea0-4c2c-abcb-7264b2e79a87.html,Complete - UPDATED 10/29/15,I agree,,
Mirtazapine,,"Latest July 2014, Remeron","2008, 2007, 2014",010f9162-9f7f-4b6d-a6e4-4f832f26f38e,"2014-07-18, version 18",http://localhost/DDI-labels/010f9162-9f7f-4b6d-a6e4-4f832f26f38e.html,Complete - UPDATED 10/29/15,New comments to Katrina 11-7,,
TCAs,,,,,,,,,,
Amitriptyline,Use amitriptyline hydrochloride Sandoz July 2014,Use amitriptyline hydrochloride Sandoz July 2014,,ea35caf8-c8c8-481a-97a2-25f68cbc240b,"2015-02-24, version 9",http://localhost/DDI-labels/ea35caf8-c8c8-481a-97a2-25f68cbc240b.html,Complete - UPDATED 10/29/15,New comments to Katrina 11-7,,
Amoxapine,Use amoxapine Watson September 2014,Use amoxapine Watson September 2014,,a16297df-3158-48db-85e5-5cd506885556,"2014-06-01, version 12",http://localhost/DDI-labels/a16297df-3158-48db-85e5-5cd506885556.html,Complete - UPDATED 10/29/15,New comments to Katrina 11-7,,
Clomipramine,,No,Use Sandoz September 2014,1809bcb4-5fcc-45ca-986a-4fa5edcd4b5e,"2014-09-25, version 1",http://localhost/DDI-labels/1809bcb4-5fcc-45ca-986a-4fa5edcd4b5e.html,Complete - UPDATED 10/29/15,New comments to Katrina 11-7,,
Desipramine,Latest July 2014 use Norpramin,Latest July 2014 use Norpramin,,3e593725-3fc9-458e-907d-19d51d5a7f9c,"2014-06-04, version 10",http://localhost/DDI-labels/3e593725-3fc9-458e-907d-19d51d5a7f9c.html,Complete - UPDATED 10/29/15,New comments to Katrina 11-7,,
Doxepin,,Latest 2010,"Use Mylan 51079-436-01, 51079-436-20, 51079-437-01, 51079-437-20  December 2014 (other Mylan label s from 2012)",c66a11c1-3093-45ef-b348-3b196c05ba0c,"2015-01-27, version 1",http://localhost/DDI-labels/c66a11c1-3093-45ef-b348-3b196c05ba0c.html,Complete - UPDATED 10/29/15,New comments to Katrina 11-7,,
Imipramine,Use  Tofranil by Mallinckkrodt  25 mg September 2014,Use  Tofranil by Mallinckkrodt  25 mg September 2014,,75bf3473-2d70-4d41-93cd-afa1015e45bb,"2014-06-30, version 10",http://localhost/DDI-labels/75bf3473-2d70-4d41-93cd-afa1015e45bb.html,Complete - UPDATED 10/29/15,New comments to Katrina 11-7,,
Nortriptyline,Use Pamelor by Mallinckrodt 018013  July 2014,Use Pamelor by Mallinckrodt 018013  July 2014,,e17dc299-f52d-414d-ab6e-e809bd6f8acb,"2014-06-30, version 14",http://localhost/DDI-labels/e17dc299-f52d-414d-ab6e-e809bd6f8acb.html,Complete,No annotations - comments to Katrina 11-7,,
Protriptyline,,Use by Odessy Pharmaceuticals September 2014,,b8881a81-75d7-43e8-825f-37c352c146dc,"2014-07-29, version 3",http://localhost/DDI-labels/b8881a81-75d7-43e8-825f-37c352c146dc.html,Complete,New comments to Katrina 11-7,,
Trimipramine,Use Surmontil by Odessy Pharmaceuticals July 2014,Use Surmontil by Odessy Pharmaceuticals July 2014,,0177d783-773c-41bf-9db9-eb7e5c64474a,"2015-02-09, version 5",http://localhost/DDI-labels/0177d783-773c-41bf-9db9-eb7e5c64474a.html,Complete,New comments to Katrina 11-7,,
Other,,,,,,,,,,
Bupropion,Use Wellbutrin December 2014,Use Wellbutrin December 2014,,a435da9d-f6e8-4ddc-897d-8cd2bf777b21,"2014-12-30, version 6",http://localhost/DDI-labels/a435da9d-f6e8-4ddc-897d-8cd2bf777b21.html,Complete,New comments to Katrina 11-7,,
