"document"	"useremail"	"claimlabel"	"claimtext"	"method"	"relationship"	"drug1"	"drug2"	"precipitant"	"enzyme"	"rejected"	"evRelationship"	"participants"	"participantstext"	"drug1dose"	"drug1formulation"	"drug1duration"	"drug1regimens"	"drug1dosetext"	"drug2dose"	"phenotypetype"	"phenotypevalue"	"phenotypemetabolizer"	"phenotypepopulation"	"drug2formulation"	"drug2duration"	"drug2regimens"	"drug2dosetext"	"aucvalue"	"auctype"	"aucdirection"	"auctext"	"cmaxvalue"	"cmaxtype"	"cmaxdirection"	"cmaxtext"	"clearancevalue"	"clearancetype"	"clearancedirection"	"clearancetext"	"halflifevalue"	"halflifetype"	"halflifedirection"	"halflifetext"	"dipsquestion"	"reviewer"	"reviewerdate"	"reviewertotal"	"reviewerlackinfo"	"grouprandomization"	"parallelgroupdesign"	"id"
"http://localhost/wolters/wolters17108811.html"	"annotat4@gmail.com"	"simvastatin_substrate of_OATP1B1"	"The SLCO1B1 genotype was significantly associated with the pharmacokinetics of simvastatin acid, but not with those of the parent simvastatin lactone"	"Phenotype clinical study"	"substrate of"	"simvastatin"	""	""	"OATP1B1"	""	"supports"	"32"	"A total of 32 young healthy Caucasian volunteers participated in the study after giving written informed consent."	"40"	"UNK"	"UNK"	"UNK"	""	""	"Genotype"	"UNK"	""	"Caucasian"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVnQZLk81_rzbHfMC-Uw"
"http://localhost/wolters/wolters17108811.html"	"annotat4@gmail.com"	"simvastatin acid_substrate of_OATP1B1"	"The SLCO1B1 genotype was significantly associated with the pharmacokinetics of simvastatin acid, but not with those of the parent simvastatin lactone"	"Phenotype clinical study"	"substrate of"	"simvastatin acid"	""	""	"OATP1B1"	""	"supports"	"32"	"A total of 32 young healthy Caucasian volunteers participated in the study after giving written informed consent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVnQWbfI1_rzbHfMC-Uu"
"http://localhost/sage/sage15069169.html"	"annotat4@gmail.com"	"amiodarone_interact with_simvastatin"	"Due to a suspected drug interaction of simvastatin with amiodarone, both drugs were stopped"	"DDI clinical trial"	"interact with"	"amiodarone"	"simvastatin"	"drug1"	""	""	"supports"	"1"	"A 63-year-old white man with underlying insulin-dependent diabetes, recent coronary artery bypass surgery, and postoperative hemiplegia was treated with aspirin, metoprolol, furosemide, nitroglycerin, and simvastatin. Due to recurrent atrial fibrillation, oral anticoagulation with phenprocoumon and antiarrhythmic treatment with amiodarone were initiated. Four weeks after starting simvastatin 40 mg/day and 2 weeks after initiating amiodarone 1 g/day for 10 days, then 200 mg/day, he developed diffuse muscle pain with generalized muscular weakness"	"40"	"UNK"	"28"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	""	""	""	""	""	"AVnP4tzp1_rzbHfMC-Un"
"http://localhost/wolters/wolters12172351.html"	"annotat4@gmail.com"	"fluoxetine_interact with_tramadol"	"A case of a serotonin syndrome after concurrent administration of fluoxetine and tramadol has been previously demonstrated. 4 We report on another case of full-blown serotonin syndrome attributed to this combination following an increase of the tramadol dose. Symptoms gradually resolved after drug discontinuation parallel to decreasing fluoxetine plasma levels."	"Case Report"	"interact with"	"fluoxetine"	"tramadol"	"drug1"	""	""	""	""	""	"80"	"UNK"	"56"	"SD"	""	"800"	""	""	""	""	"UNK"	"UNK"	"UNK"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|UNK/NA|Yes|UNK/NA|Yes|NA"	"External"	"01/24/2017"	4	""	""	""	"AVnPulXh1_rzbHfMC-Uk"
"http://localhost/wolters/wolters17921794.html"	"annotat4@gmail.com"	"colchicine_interact with_simvastatin"	"We report a case of a patient with mild chronic renal insufficiency who had been taking simvastatin for over a year and developed acute weakness within 3 weeks after the start of treatment with colchicine for acute gouty bursitis."	"Case Report"	"interact with"	"colchicine"	"simvastatin"	"drug1"	""	""	""	""	""	"80"	"UNK"	"UNK"	"QD"	""	"0.6"	""	""	""	""	"UNK"	"UNK"	"BID"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	"External"	"01/24/2017"	"NA"	""	""	""	"AVnPZBdq1_rzbHfMC-Ue"
"http://localhost/wolters/wolters22561472.html"	"annotat4@gmail.com"	"valproate_interact with_Quetiapine"	"Quetiapine was titrated to 100 mg/d on day 6. Laboratory data showed neutropenia on day 7. His WBC count was 2.59 × 109/L, and absolute neutrophil count (ANC) was 1.748 × 109/L. Both quetiapine and valproate were immediately discontinued"	"Case Report"	"interact with"	"valproate"	"Quetiapine"	"drug1"	""	""	""	""	""	"200"	"UNK"	"1"	"SD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined|undefined"	""	"01/24/2017"	"NA"	""	""	""	"AVnPIDGe1_rzbHfMC-UX"
"http://localhost/wolters/wolters22217948.html"	"annotat4@gmail.com"	"quetiapine_interact with_VPA"	"To our knowledge, this is the first report on the occurrence of neutropenia and thrombocytopenia associated with concomitant VPA and quetiapine use after lamotrigine-induced SJS in a patient with bipolar disorder."	"Case Report"	"interact with"	"quetiapine"	"VPA"	""	""	""	""	""	""	"400"	"UNK"	"UNK"	"UNK"	""	"500"	""	""	""	""	"UNK"	"UNK"	"UNK"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No|Yes|Yes|Yes|NA|UNK/NA|Yes|UNK/NA|NA|NA"	"External"	"01/24/2017"	1	""	""	""	"AVnPDyGF1_rzbHfMC-US"
"http://localhost/wolters/wolters15319707.html"	"annotat4@gmail.com"	"bupropion_interact with_clomipramine"	"One week after the start of bupropion SR 300 mg/d, Miss A. had generalized tonic-clonic movements, accompanied by unresponsiveness for about 5 minutes. She was transported to an emergency department, where an EEG revealed very frequent generalized spike and wave complexes on both hemispheres. This pattern was prominent on the frontal area with occasional generalization (Fig. 2). Her physical and neurologic examination was normal. On laboratory investigation, urinalysis, complete blood count, serum electrolytes, and renal and liver function test results were normal. Although bupropion SR was discontinued, a similar generalized seizure occurred 3 days later. She was switched from clomipramine to sertraline, after which no further seizures have been reported"	"Case Report"	"interact with"	"bupropion"	"clomipramine"	"drug1"	""	""	""	""	""	"300"	"UNK"	"1"	"SD"	""	"25"	""	""	""	""	"UNK"	"1"	"SD"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NA|No|Yes|Yes|NA|UNK/NA|Yes|UNK/NA|NA|NA"	"External"	"01/24/2017"	""	""	""	""	"AVnO70eq1_rzbHfMC-UN"
"http://localhost/wolters/wolters7782487.html"	"annotat4@gmail.com"	"valproic acid_interact with_warfarin"	"She was transferred to the psychiatry service, where she ultimately agreed to take her psychiatric medications. Valproic acid, 250 mg twice daily, and fluphenazine, 5 mg once daily, were added to her warfarin regimen. On the morning after her first dose of valproic acid, the PT ratio increased to 2.0 and the INR increased to 3.9. In response, her coumadin dose was decreased to 2.5 mg every other day until her PT and INR returned to the normal range"	"Case Report"	"interact with"	"valproic acid"	"warfarin"	"drug1"	""	""	""	""	""	"500"	"UNK"	"daily"	"BID"	""	"5.0"	""	""	""	""	"Oral"	"daily"	"Daily"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|Yes|NA|No|UNK/NA|UNK/NA|Yes|NA"	"External"	"01/23/2017"	4	""	""	""	"AVnOw4ex1_rzbHfMC-UJ"
"http://localhost/wolters/wolters9004070.html"	"annotat4@gmail.com"	"venlafaxine_interact with_selegiline"	"On the 16th day after selegiline discontinuation, he was placed on venlafaxine, 37.5 mg. Within 30 minutes, he noted the onset of profound anxiety, diarrhea, myoclonic jerks, shivering, tremor, and profuse diaphoresis. He went to the emergency department where he was afebrile, with a pulse of 110, and blood pressure of 143/90"	"Case Report"	"interact with"	"venlafaxine"	"selegiline"	"drug1"	""	""	""	""	""	"37.5"	"UNK"	"UNK"	"UNK"	""	"50"	""	""	""	""	"UNK"	"UNK"	"UNK"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes|Yes|Yes|No|NA|UNK/NA|UNK/NA|UNK/NA|Yes|NA"	"External"	"01/23/2017"	3	""	""	""	"AVnOnL331_rzbHfMC-UF"
