"source","date","assertionType","evidenceType","prefix","exactText","suffix","modality","statementType","comment","drug1Lab","drug1Type","drug1Role","dose1","drug2Lab","drug2Type","drug2Role","dose2","objectRegimens","objectFormulation","objectDuration","preciptRegimens","preciptFormulation","preciptDuration","numOfParticipants","auc","aucType","aucDirection","clearance","clearanceType","clearanceDirection","cmax","cmaxType","cmaxDirection","halflife","halflifeType","halflifeDirection"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/2f44db39-e1d9-451e-ba31-e4b10366a430.html","2016-05-09 17:58:31 -0700","DDI-clinical-trial","evidence-supports",". In addition, there was no pharmacodynamic interaction as a result of coadministration of zaleplon and venlafaxine ER.  ","Promethazine: Coadministration of a single dose of zaleplon and promethazine (10 and 25 mg, respectively) resulted in a 15% decrease in maximal plasma concentrations of zaleplon, but no change in the area under the plasma concentration-time curve. However, the pharmacodynamics of coadministration of zaleplon and promethazine have not been evaluated. Caution should be exercised when these 2 agents are coadministered.","","ncit:positive","ncit:quantitative","but no change in the area under the plasma concentration-time curve.","promethazine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","25","zaleplon","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","10","SD","Oral","1","SD","Oral","1","UNK","UNK","UNK","UNK","UNK","UNK","UNK","15","Percent","Decrease","UNK","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/1a5a93be-7bc3-4714-9308-2fbfb8260e23.html","2016-02-29 15:03:48 -0700","drug-drug-interaction","evidence-supports","Phenothiazines can produce alpha-adrenergic blockade.  ","Concomitant administration of propranolol with phenothiazines results in increased plasma levels of both drugs.","","ncit:positive","ncit:Qualitative","Concomitant administration of propranolol with phenothiazines results in increased plasma levels of both drugs","propranolol","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"phenothiazines","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","",,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/ba74e3cd-b06f-4145-b284-5fd6b84ff3c9.html","2016-04-11 14:55:51 -0700","drug-drug-interaction","evidence-supports","5.5 Effect of P-gp Inducers and Inhibitors on Dabigatran Exposure   ","The concomitant use of PRADAXA with P-gp inducers (e.g., rifampin) reduces exposure to dabigatran and should generally be avoided [see Clinical Pharmacology (12.3)].","","ncit:positive","ncit:Qualitative","rifampin reduces exposure to dabigatran","dabigatran","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","rifampin","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/d76d5540-7bae-4719-8166-f2a9106338df.html","2016-05-09 22:55:21 -0400","drug-drug-interaction","evidence-challenges","combinations revealed no effect of either drug on the pharmacokinetics or pharmacodynamics of zolpidem .  ","Zolpidem tartrate had no effect on digoxin pharmacokinetics and did not affect prothrombin time when given with warfarin in healthy subjects.","","ncit:negative","ncit:Qualitative","did not affect prothrombin time when given with warfarin","Zolpidem","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"warfarin","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","",,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/e9481622-7cc6-418a-acb6-c5450daae9b0.html","2016-04-12 10:48:58 -0700","drug-drug-interaction","evidence-supports","7.2 Strong Dual Inducers of CYP3A4 and P-gp  ","Avoid concomitant use of ELIQUIS with strong dual inducers of CYP3A4 and P-gp (e.g., rifampin, carbamazepine, phenytoin, St. John’s wort) because such drugs will decrease exposure to apixaban [see Clinical Pharmacology (12.3)].","","ncit:positive","ncit:Qualitative","rifampin will decrease exposure to apixaban","rifampin","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"apixaban","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","",,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/ee49f3b1-1650-47ff-9fb1-ea53fe0b92b6.html","2016-03-14 14:01:17 -0700","DDI-clinical-trial","evidence-supports","aripiprazole pharmacokinetics        ","The effects of ABILIFY on the exposures of other drugs are summarized in Figure 21. A population PK analysis in patients with major depressive disorder showed no substantial change in plasma concentrations of fluoxetine (20 mg/day or 40 mg/day), paroxetine CR (37.5 mg/day or 50 mg/day), or sertraline (100 mg/day or 150 mg/day) dosed to steady-state. The steady-state plasma concentrations of fluoxetine and norfluoxetine increased by about 18% and 36%, respectively, and concentrations of paroxetine decreased by about 27%. The steady-state plasma concentrations of sertraline and desmethylsertraline were not substantially changed when these antidepressant therapies were coadministered with aripiprazole.","","ncit:positive","ncit:quantitative","this was a pop pk study","ABILIFY","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","UNK","norfluoxetine","dikbD2R:metabolite","dikbD2R:object-drug-of-interaction","20-40","Daily","Oral","UNK","UNK","UNK","UNK","UNK","36","Percent","Increase","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/ba74e3cd-b06f-4145-b284-5fd6b84ff3c9.html","2016-04-11 15:06:41 -0700","DDI-clinical-trial","evidence-supports","is administered 2 hours after dabigatran etexilate .   ","Ketoconazole: Systemic ketoconazole increased dabigatran AUC and Cmax values by 138% and 135%, respectively, after a single dose of 400 mg, and 153%, and 149%, respectively, after multiple daily doses of 400 mg.","","ncit:positive","ncit:quantitative",,"ketoconazole","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","400","dabigatran","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","UNK","UNK","Oral","UNK","SD","Oral","1","UNK","138","Percent","Increase","UNK","UNK","UNK","135","Percent","Increase","UNK","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/10db92f9-2300-4a80-836b-673e1ae91610.html","2016-05-01 16:26:31 -0700","drug-drug-interaction","evidence-supports","7.1 Drugs that Inhibit Cytochrome P450 3A4 Enzymes and Drug Transport Systems  ","In drug interaction studies evaluating the concomitant use with drugs that are combined P-gp and CYP3A4 inhibitors (ketoconazole, ritonavir, clarithromycin, erythromycin and fluconazole), increases in rivaroxaban exposure and pharmacodynamic effects (i.e., factor Xa inhibition and PT prolongation) were observed. The increases in exposure ranged from 30% to 160%. Significant increases in rivaroxaban exposure may increase bleeding risk [see Clinical Pharmacology (12.3)].","","ncit:positive","ncit:Qualitative","increases in rivaroxaban exposure","rivaroxaban","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","ritonavir","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/51ff7db5-aaf9-4c3c-86e6-958ebf16b60f.html","2015-11-27 13:01:39 -0800","DDI-clinical-trial","evidence-supports","","When a single oral 0.25 mg dose of triazolam was coadministered with nefazodone (200 mg BID) at steady state, triazolam half-life and AUC increased 4 fold and peak concentrations increased 1.7 fold. ","Nefazodone","ncit:positive","ncit:quantitative",,"nefazodone","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","200","triazolam","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction",".25","SD","Oral","1","BID","Oral","UNK","UNK","4","Fold","Increase","UNK","UNK","UNK","1.7","Fold","Increase","4","Fold","Increase"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/39a5dae2-49f7-4662-9eac-aa7b4c7807a4.html","2016-05-09 19:41:26 -0400","DDI-clinical-trial","evidence-challenges","measured at steady state following dosing of 0.5 mg twice daily for one day and 0.25 mg daily for the next 6 days.   ","Warfarin: Eszopiclone 3 mg administered daily for 5 days did not affect the pharmacokinetics of (R)- or (S)-warfarin, nor were there any changes in the pharmacodynamic profile (prothrombin time) following a single 25 mg oral dose of warfarin. ","","ncit:negative","ncit:quantitative","Eszopiclone 3 mg administered daily for 5 days did not affect the pharmacokinetics of warfarin","Eszopiclone","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","3","warfarin","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","25","SD","Oral","1","Daily","Oral","5","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/520428f1-2cd5-447f-8782-c8505ce65b72.html","2016-03-30 16:13:29 -0700","drug-drug-interaction","evidence-supports","is metabolized by CYP3A4 but has no CYP3A4 inhibitory activity; therefore it is not expected to affect the plasma concentrations of other drugs metabolized by CYP3A4. ","Strong inhibitors of CYP3A4 (e.g., itraconazole, ketoconazole, posaconazole, voriconazole, clarithromycin, telithromycin, HIV protease inhibitors, boceprevir, telaprevir, nefazodone, erythromycin, and cobicistat-containing products), and grapefruit juice increase the risk of myopathy by reducing the elimination of lovastatin. (See CONTRAINDICATIONS, WARNINGS, Myopathy/Rhabdomyolysis, and CLINICAL PHARMACOLOGY, Pharmacokinetics.)","","ncit:positive","ncit:Qualitative","Clarithromycin is a strong inhibitor of CYP3A4 and reduces the elimination of lovastatin","clarithromycin","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"lovastatin","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","",,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/aad8b373-0aec-4efb-8e61-3d8114b31127.html","2016-03-30 15:09:14 -0700","drug-drug-interaction","evidence-supports","   7.7 Phenytoin  ","Concomitant administration of fluvastatin and phenytoin increased phenytoin exposures. Patients should continue to be monitored appropriately when fluvastatin therapy is initiated or when fluvastatin dose is changed [see Clinical Pharmacology (12.3)].","","ncit:positive","ncit:Qualitative","Concomitant fluvastatin increases phenytoin exposure. Details in Section 12 Table 3","phenytoin","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","","fluvastatin","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction",,,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/43452bf8-76e7-47a9-a5d8-41fe84d061f0.html","2015-11-29 14:35:23 -0700","DDI-clinical-trial","evidence-supports","elimination and cause increased blood levels.   ","Ketoconazole: Co-administration of ketoconazole (200 mg twice daily for 4 days), a potent inhibitor of CYP3A4, with a 3 mg single dose of iloperidone to 19 healthy volunteers, ages 18 to 45 years, increased the area under the curve (AUC) of iloperidone and its metabolites P88 and P95 by 57%, 55% and 35%, respectively. Iloperidone doses should be reduced by about one-half when administered with ketoconazole or other strong inhibitors of CYP3A4 (e.g., itraconazole). Weaker inhibitors (e.g., erythromycin, grapefruit juice) have not been studied. When the CYP3A4 inhibitor is withdrawn from the combination therapy, the iloperidone dose should be returned to the previous level.","","ncit:positive","ncit:quantitative",,"ketoconazole","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction","200","iloperidone","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","3","SD","Oral","1","BID","Oral","4","19","57","Percent","Increase","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK","UNK"
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/d78e9639-6fab-4a78-8b29-6991a18ae6c6.html","2016-02-19 17:46:51 -0500","drug-drug-interaction","evidence-supports","hydroxylase). Approximately 10% of the Caucasian population has reduced activity of this enzyme, so-called “poor” metabolizers. Among other populations the prevalence is not known. Poor metabolizers demonstrate higher plasma concentrations of antipsychotic drugs at usual doses, which may correlate with emergence of side effects. ","In one study of 45 elderly patients suffering from dementia treated with perphenazine, the 5 patients who were prospectively identified as poor P450 2D6 metabolizers had reported significantly greater side effects during the first 10 days of treatment than the 40 extensive metabolizers, following which the groups tended to converge. Prospective phenotyping of elderly patients prior to antipsychotic treatment may identify those at risk for adverse events.    The concomitant administration of other drugs that inhibit the activity of P450 2D6 may acutely increase plasma concentrations of antipsychotics. Among these are tricyclic antidepressants and selective serotonin reuptake inhibitors, e.g., fluoxetine, sertraline and paroxetine. When prescribing these drugs to patients already receiving antipsychotic therapy, close monitoring is essential and dose reduction may become necessary to avoid toxicity. Lower doses than usually prescribed for either the antipsychotic or the other drug may be required.","","ncit:positive","ncit:Qualitative","may acutely increase plasma concentrations of antipsychotics.","paroxetine","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"perphenazine","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","",,,,,,,,,,,,,,,,,,,
"http://dbmi-icode-01.dbmi.pitt.edu:80/DDI-labels/aad8b373-0aec-4efb-8e61-3d8114b31127.html","2016-03-31 12:56:52 -0700","drug-drug-interaction","evidence-challenges","Pharmacokinetic data in the pediatric population are not available.   Drug-Drug Interactions:   ","Data from drug-drug interactions studies involving coadministration of gemfibrozil, niacin, itraconazole, erythromycin, tolbutamide or clopidogrel indicate that the PK disposition of fluvastatin is not significantly altered when fluvastatin is coadministered with any of these drugs.","","ncit:negative","ncit:Qualitative","PK disposition of fluvastatin is not significantly altered when fluvastatin is coadministered with tolbutamide","tolbutamide","dikbD2R:active-ingredient","dikbD2R:precipitant-drug-of-interaction",,"fluvastatin","dikbD2R:active-ingredient","dikbD2R:object-drug-of-interaction","",,,,,,,,,,,,,,,,,,,
