name,concept name,RxNorm,MESH,PRO,NDFRT,conceptId,comment,
1-pyrimidinylpiperazine,1-(2-pyrimidinyl)piperazine,,C037921,,,,,
m-chlorophenylpiperazine,1-(3-chlorophenyl)piperazine,,C015068,,,,,
2-hydroxy desipramine,2-hydroxydesipramine,,C028653,,,,,
4-hydroxypropranolol,4-hydroxypropranolol,,C001422,,,,,
ABILIFY,Abilify,352393,,,,19031636,,
abiraterone,ABIRATERONE,1100072,,,,40239056,,
abiraterone acetate,Abiraterone Acetate,,D000069501,,,,,
beta blockers,Adrenergic beta-Antagonists,,D000319,,,,,
beta-blockers,Adrenergic beta-Antagonists,,D000319,,,,,
aliskiren,ALISKIREN,325646,,,,1317967,,
alitretinoin,ALITRETINOIN,81864,,,,941052,,
alosetron,ALOSETRON,85248,,,,948555,,
alprazolam,ALPRAZOLAM,596,,,,781039,,
ambrisentan,AMBRISENTAN,358274,,,,1337068,,
amiodarone,AMIODARONE,703,,,,1309944,,
amitriptyline,AMITRIPTYLINE,704,,,,710062,,
amlodipine,AMLODIPINE,17767,,,,1332418,,
L-amphetamine,Amphetamine,,D000661,,,,,
antiarrhythmics,Anti-Arrhythmia Agents,,D000889,,,,,
antidepressants,Antidepressive Agents,,D000928,,,,,
tricyclic antidepressant,"Antidepressive Agents, Tricyclic",,D000929,,N0000175752,4333800,,
tricyclic antidepressants,"Antidepressive Agents, Tricyclic",,D000929,,N0000175752,4333800,,
antipsychotics,Antipsychotic Agents,,D014150,,,,,
antiviral drugs,Antiviral Agents,,D000998,,,,,
apixaban,APIXABAN,1364430,,,,43013024,,
aripiprazole,ARIPIPRAZOLE,89013,,,,757688,,
acetylsalicylic acid,ASPIRIN,1191,,,,1112807,,
aspirin,ASPIRIN,1191,,,,1112807,,
high-dose ASA,ASPIRIN,1191,,,,1112807,"""synonym for """"high-dose aspirin""""""",
low-dose ASA,ASPIRIN,1191,,,,1112807,"""synonym for """"low-dose aspirin""""""",
astemizole,Astemizole,42328,,,,1150770,,
atazanavir,ATAZANAVIR,343047,,,,1727223,,
atenolol,ATENOLOL,1202,,,,1314002,,
atomoxetine,ATOMOXETINE,38400,,,,742185,,
Atorvastatin,ATORVASTATIN,83367,,,,1545958,,
atorvastatin,ATORVASTATIN,83367,,,,1545958,,
AUBAGIO,Aubagio,1310526,,,,42898635,,
avasimibe,avasimibe,,C423185,,,,,
barbiturates,Barbiturates,,D001463,,,,,
benzodiazepines,Benzodiazepines,,D001569,,,,,
benztropine,BENZTROPINE,1424,,,,719174,,
bicalutamide,BICALUTAMIDE,83008,,,,1344381,,
biperiden,Biperiden,1589,,,,724908,,
boceprevir,BOCEPREVIR,1102129,,,,40238770,,
bosentan,BOSENTAN,75207,,,,1321636,,
BRINTELLIX,Brintellix,1439824,,,,44506424,,
Bupropion,BUPROPION,42347,,,,750982,,
bupropion,BUPROPION,42347,,,,750982,,
buspirone,BUSPIRONE,1827,,,,733301,,
caffeine,CAFFEINE,1886,,,,1134439,,
calcium channel blockers,Calcium Channel Blockers,,D002121,,,,,
P88,"capsid protein p88, Hv190SV",,C102211,,,,,
Carbamazepine,CARBAMAZEPINE,2002,,,,740275,,
carbamazepine,CARBAMAZEPINE,2002,,,,740275,,
cefaclor,CEFACLOR,2176,,,,1768849,,
Celexa,CeleXA,215928,,,,19058158,,
chlorpromazine,CHLORPROMAZINE,2403,,,,794852,,
chlorpropamide,CHLORPROPAMIDE,2404,,,,1594973,,
Cimetidine,CIMETIDINE,2541,,,,997276,,
cimetidine,CIMETIDINE,2541,,,,997276,,
ciprofloxacin,CIPROFLOXACIN,2551,,,,1797513,,
cisapride,CISAPRIDE,35255,,,,932196,,
Citalopram,CITALOPRAM,2556,,,,797617,,
citalopram,CITALOPRAM,2556,,,,797617,,
clarithromycin,CLARITHROMYCIN,21212,,,,1750500,,
clomipramine,CLOMIPRAMINE,2597,,,,798834,,
Clopidogrel,CLOPIDOGREL,32968,,,,1322184,,
clopidogrel,CLOPIDOGREL,32968,,,,1322184,,
clozapine,CLOZAPINE,2626,,,,800878,,
clozapine N-oxide,clozapine N-oxide,,C079149,,,,,
cobicistat,COBICISTAT,1306284,,,,42874220,,
colchicine,COLCHICINE,2683,,,,1101554,,
oral contraceptives,"Contraceptives, Oral",,D003276,,,,,
coumarin,COUMARIN,2898,,,,19008106,,
CRESTOR,Crestor,320864,,,,19015844,,
Cyclosporine,CYCLOSPORINE,3008,,,,19010482,,
cyclosporine,CYCLOSPORINE,3008,,,,19010482,,
ciclosporin,Cyclosporine,,D016572,,,,,
cyp2c19,"CYP2C19 protein, human",,C045793,PR:000006118,,,,
cyp3a4,"CYP3A4 protein, human",,C510163,PR:000006130,,,,
CYP2D6,Cytochrome P-450 CYP2D6,,D019389 ,PR:000006121,,,,
cyp2d6,Cytochrome P-450 CYP2D6,,D019389,PR:000006121,,,,
dabigatran,DABIGATRAN,1546356,,,,45775372,,
darunavir,darunavir,460132,,,,40134447,RxNav: Selected RXCUI = 643071 is obsolete and has been remapped to new Concept RXCUI = 460132,
debrisoquin,Debrisoquin,3118,,,,19011951,,
delavirdine,DELAVIRDINE,83816,,,,1747157,,
Desipramine,DESIPRAMINE,3247,,,,716968,,
desipramine,DESIPRAMINE,3247,,,,716968,,
desmethylsertraline,desmethylsertraline,,C065162,,,,,
N-desmethylsertraline,desmethylsertraline,,C065162,,,,,
desvenlafaxine,DESVENLAFAXINE,734064, ,,,717607,,
desvenlafaxine succinate,DESVENLAFAXINE SUCCINATE,683693,D000069468,,,19125398,,
dextromethorphan,DEXTROMETHORPHAN,3289,,,,1119510,,
dextrorphan,Dextrorphan,,D003917,,,,,
diazepam,DIAZEPAM,3322,,,,723013,,
Diclofenac,DICLOFENAC,3355,,,,1124300,,
diclofenac,DICLOFENAC,3355,,,,1124300,,
Digoxin,DIGOXIN,3407,,,,1326303,,
digoxin,DIGOXIN,3407,,,,1326303,,
Dilantin,Dilantin,202740,,,,19043651,,
diltiazem,DILTIAZEM,3443,,,,1328165,,
diphenhydramine,DIPHENHYDRAMINE,3498,,,,1129625,,
doxepin,DOXEPIN,3638,,,,738156,,
dronedarone,DRONEDARONE,233698,,,,40163615,,
duloxetine,DULOXETINE,72625,,,,715259,,
Edoxaban,EDOXABAN,1599538,,,,45892847,,
Efavirenz,EFAVIRENZ,195085,,,,1738135,,
efavirenz,EFAVIRENZ,195085,,,,1738135,,
EMSAM,Emsam,617716,,,,19086595,,
enoxacin,Enoxacin,3925,,,,1743222,,
Enoxaparin,ENOXAPARIN,67108,,,,1301025,,
enoxaparin,ENOXAPARIN,67108,,,,1301025,,
Erythromycin,ERYTHROMYCIN,4053,,,,1746940,,
erythromycin,ERYTHROMYCIN,4053,,,,1746940,,
escitalopram,ESCITALOPRAM,321988,,,,715939,,
estazolam,ESTAZOLAM,4077,,,,748010,,
Eszopiclone,Eszopiclone,461016,,,,40038687,RxNav: Selected RXCUI = 485437 is obsolete and has been remapped to new Concept RXCUI = 461016,
eszopiclone,Eszopiclone,461016,,,,40038687,RxNav: Selected RXCUI = 485437 is obsolete and has been remapped to new Concept RXCUI = 461017,
ethinyl estradiol,ETHINYL ESTRADIOL,4124,,,,1549786,,
ethinylestradiol,Ethinyl Estradiol,,D004997,,,,,
ezetimibe,EZETIMIBE,341248,,,,1526475,,
famotidine,FAMOTIDINE,4278,,,,953076,,
fenofibrate,FENOFIBRATE,8703,,,,1551803,,
FETZIMA,Fetzima,1433218,,,,43560139,,
fimasartan,fimasartan,,C558933,,,,,
fingolimod,FINGOLIMOD,1012892,,,,40226579,,
flecainide,FLECAINIDE,4441,,,,1354860,,
Fluconazole,FLUCONAZOLE,4450,,,,1754994,,
fluconazole,FLUCONAZOLE,4450,,,,1754994,,
